Tempo/s,VazaoEntrada,Level/m,Vazao,DeltaHt,DeltaQx
146,345.36,1.9915,366.93,0.0011868,0
147,345.43,1.9927,367.35,0.0011992,-9.9336e-05
148,345.51,1.994,367.78,0.0012116,-0.00021696
149,345.6,1.9952,368.21,0.001224,-0.00035257
150,345.7,1.9964,368.65,0.0012364,-0.00050587
151,345.82,1.9977,369.09,0.0012488,-0.00067657
152,345.94,1.999,369.54,0.0012611,-0.00086438
153,346.08,2.0003,369.99,0.0012735,-0.001069
154,346.22,2.0016,370.44,0.0012858,-0.0012902
155,346.38,2.0029,370.9,0.0012981,-0.0015276
156,346.54,2.0042,371.37,0.0013104,-0.001781
157,346.72,2.0055,371.83,0.0013227,-0.0020501
158,346.91,2.0069,372.31,0.0013349,-0.0023346
159,347.11,2.0082,372.78,0.0013471,-0.0026343
160,347.32,2.0096,373.26,0.0013593,-0.0029489
161,347.54,2.011,373.75,0.0013715,-0.0032782
162,347.77,2.0124,374.24,0.0013836,-0.0036218
163,348.01,2.0138,374.73,0.0013958,-0.0039795
164,348.26,2.0152,375.23,0.0014078,-0.0043511
165,348.53,2.0166,375.73,0.0014199,-0.0047363
166,348.8,2.0181,376.24,0.0014319,-0.0051349
167,349.08,2.0195,376.75,0.0014439,-0.0055466
168,349.37,2.021,377.27,0.0014558,-0.0059712
169,349.68,2.0225,377.78,0.0014677,-0.0064084
170,349.99,2.024,378.31,0.0014795,-0.0068579
171,350.31,2.0255,378.84,0.0014914,-0.0073197
172,350.65,2.027,379.37,0.0015031,-0.0077933
173,350.99,2.0285,379.9,0.0015149,-0.0082787
174,351.34,2.0301,380.44,0.0015265,-0.0087755
175,351.7,2.0316,380.99,0.0015382,-0.0092835
176,352.08,2.0332,381.54,0.0015497,-0.0098025
177,352.46,2.0347,382.09,0.0015613,-0.010332
178,352.85,2.0363,382.65,0.0015727,-0.010873
179,353.25,2.0379,383.21,0.0015842,-0.011423
180,353.67,2.0395,383.77,0.0015955,-0.011984
181,354.09,2.0412,384.34,0.0016068,-0.012555
182,354.52,2.0428,384.91,0.0016181,-0.013135
183,354.96,2.0444,385.49,0.0016293,-0.013725
184,355.41,2.0461,386.07,0.0016404,-0.014324
185,355.86,2.0477,386.66,0.0016515,-0.014932
186,356.33,2.0494,387.24,0.0016625,-0.015548
187,356.81,2.0511,387.84,0.0016734,-0.016174
188,357.3,2.0528,388.43,0.0016843,-0.016808
189,357.79,2.0545,389.03,0.0016951,-0.01745
190,358.29,2.0562,389.64,0.0017058,-0.0181
191,358.81,2.0579,390.24,0.0017164,-0.018758
192,359.33,2.0597,390.86,0.001727,-0.019423
193,359.86,2.0614,391.47,0.0017375,-0.020096
194,360.4,2.0632,392.09,0.001748,-0.020776
195,360.95,2.065,392.71,0.0017584,-0.021463
196,361.5,2.0667,393.34,0.0017686,-0.022157
197,362.07,2.0685,393.97,0.0017788,-0.022857
198,362.64,2.0703,394.6,0.001789,-0.023564
199,363.22,2.0721,395.24,0.001799,-0.024277
200,363.81,2.0739,395.88,0.001809,-0.024996
201,364.41,2.0758,396.52,0.0018189,-0.025721
202,365.02,2.0776,397.17,0.0018287,-0.026452
203,365.63,2.0795,397.82,0.0018384,-0.027188
204,366.26,2.0813,398.47,0.001848,-0.02793
205,366.89,2.0832,399.13,0.0018576,-0.028676
206,367.53,2.0851,399.79,0.001867,-0.029428
207,368.17,2.0869,400.46,0.0018764,-0.030184
208,368.83,2.0888,401.12,0.0018856,-0.030945
209,369.49,2.0907,401.79,0.0018948,-0.03171
210,370.16,2.0927,402.47,0.0019039,-0.032479
211,370.84,2.0946,403.14,0.0019129,-0.033252
212,371.52,2.0965,403.82,0.0019218,-0.03403
213,372.21,2.0985,404.51,0.0019306,-0.034811
214,372.91,2.1004,405.19,0.0019393,-0.035595
215,373.62,2.1024,405.88,0.0019479,-0.036383
216,374.33,2.1043,406.57,0.0019564,-0.037174
217,375.05,2.1063,407.27,0.0019648,-0.037968
218,375.78,2.1083,407.97,0.0019731,-0.038765
219,376.51,2.1103,408.67,0.0019813,-0.039564
220,377.26,2.1123,409.37,0.0019894,-0.040366
221,378,2.1143,410.08,0.0019974,-0.04117
222,378.76,2.1163,410.79,0.0020053,-0.041977
223,379.52,2.1183,411.5,0.0020131,-0.042785
224,380.29,2.1203,412.21,0.0020208,-0.043596
225,381.06,2.1224,412.93,0.0020284,-0.044408
226,381.84,2.1244,413.65,0.0020359,-0.045221
227,382.63,2.1265,414.37,0.0020432,-0.046036
228,383.42,2.1285,415.1,0.0020505,-0.046852
229,384.22,2.1306,415.83,0.0020576,-0.04767
230,385.03,2.1327,416.56,0.0020647,-0.048488
231,385.84,2.1347,417.29,0.0020716,-0.049307
232,386.66,2.1368,418.02,0.0020784,-0.050126
233,387.48,2.1389,418.76,0.0020851,-0.050946
234,388.31,2.141,419.5,0.0020917,-0.051766
235,389.15,2.1431,420.24,0.0020982,-0.052587
236,389.99,2.1452,420.98,0.0021045,-0.053407
237,390.83,2.1473,421.73,0.0021108,-0.054227
238,391.69,2.1495,422.48,0.0021169,-0.055047
239,392.54,2.1516,423.23,0.0021229,-0.055867
240,393.41,2.1537,423.98,0.0021288,-0.056685
241,394.27,2.1559,424.73,0.0021346,-0.057504
242,395.15,2.158,425.49,0.0021403,-0.058321
243,396.02,2.1602,426.25,0.0021458,-0.059137
244,396.91,2.1623,427.01,0.0021513,-0.059952
245,397.79,2.1645,427.77,0.0021566,-0.060766
246,398.69,2.1666,428.53,0.0021618,-0.061579
247,399.58,2.1688,429.3,0.0021669,-0.06239
248,400.49,2.171,430.06,0.0021718,-0.063199
249,401.39,2.1732,430.83,0.0021767,-0.064006
250,402.3,2.1754,431.6,0.0021814,-0.064812
251,403.22,2.1776,432.37,0.002186,-0.065615
252,404.14,2.1797,433.15,0.0021905,-0.066417
253,405.06,2.1819,433.92,0.0021948,-0.067216
254,405.99,2.1842,434.7,0.0021991,-0.068012
255,406.92,2.1864,435.47,0.0022032,-0.068806
256,407.86,2.1886,436.25,0.0022072,-0.069597
257,408.8,2.1908,437.03,0.0022111,-0.070385
258,409.74,2.193,437.81,0.0022149,-0.071171
259,410.69,2.1952,438.59,0.0022185,-0.071953
260,411.64,2.1975,439.38,0.002222,-0.072732
261,412.6,2.1997,440.16,0.0022254,-0.073508
262,413.56,2.2019,440.95,0.0022287,-0.074281
263,414.52,2.2041,441.73,0.0022318,-0.07505
264,415.48,2.2064,442.52,0.0022349,-0.075815
265,416.45,2.2086,443.31,0.0022378,-0.076576
266,417.42,2.2109,444.1,0.0022406,-0.077334
267,418.4,2.2131,444.89,0.0022432,-0.078088
268,419.38,2.2154,445.68,0.0022458,-0.078837
269,420.36,2.2176,446.47,0.0022482,-0.079583
270,421.34,2.2199,447.26,0.0022505,-0.080324
271,422.33,2.2221,448.05,0.0022527,-0.081061
272,423.32,2.2244,448.85,0.0022548,-0.081793
273,424.31,2.2266,449.64,0.0022567,-0.082521
274,425.31,2.2289,450.43,0.0022585,-0.083244
275,426.3,2.2312,451.23,0.0022602,-0.083962
276,427.3,2.2334,452.02,0.0022618,-0.084675
277,428.31,2.2357,452.82,0.0022633,-0.085384
278,429.31,2.2379,453.62,0.0022646,-0.086087
279,430.32,2.2402,454.41,0.0022658,-0.086785
280,431.32,2.2425,455.21,0.0022669,-0.087478
281,432.34,2.2448,456,0.0022679,-0.088165
282,433.35,2.247,456.8,0.0022688,-0.088847
283,434.36,2.2493,457.6,0.0022696,-0.089524
284,435.38,2.2516,458.39,0.0022702,-0.090195
285,436.4,2.2538,459.19,0.0022707,-0.09086
286,437.42,2.2561,459.99,0.0022711,-0.09152
287,438.44,2.2584,460.78,0.0022714,-0.092173
288,439.46,2.2606,461.58,0.0022716,-0.092821
289,440.48,2.2629,462.38,0.0022716,-0.093463
290,441.51,2.2652,463.17,0.0022715,-0.094099
291,442.53,2.2675,463.97,0.0022714,-0.094728
292,443.56,2.2697,464.76,0.0022711,-0.095352
293,444.59,2.272,465.56,0.0022707,-0.095969
