Tempo/s,VazaoEntrada,Level/m,Vazao,DeltaHt,DeltaQx
598,1490.9,4.3593,1543.1,-4.4409e-05,0
599,1491.3,4.3593,1543.1,-4.4411e-05,1.9824e-05
600,1491.7,4.3592,1543,-4.4413e-05,3.9505e-05
601,1492.1,4.3592,1543,-4.4414e-05,5.9044e-05
602,1492.5,4.3592,1543,-4.4416e-05,7.8442e-05
603,1492.9,4.3591,1543,-4.4418e-05,9.7699e-05
604,1493.3,4.3591,1543,-4.4419e-05,0.00011682
605,1493.7,4.359,1542.9,-4.4421e-05,0.0001358
606,1494.1,4.359,1542.9,-4.4422e-05,0.00015464
607,1494.5,4.3589,1542.9,-4.4424e-05,0.00017334
608,1494.9,4.3589,1542.9,-4.4425e-05,0.00019191
609,1495.3,4.3588,1542.9,-4.4427e-05,0.00021035
610,1495.7,4.3588,1542.8,-4.4428e-05,0.00022865
611,1496,4.3588,1542.8,-4.443e-05,0.00024682
612,1496.4,4.3587,1542.8,-4.4431e-05,0.00026485
613,1496.8,4.3587,1542.8,-4.4432e-05,0.00028275
614,1497.1,4.3586,1542.8,-4.4434e-05,0.00030053
615,1497.5,4.3586,1542.7,-4.4435e-05,0.00031817
616,1497.9,4.3585,1542.7,-4.4436e-05,0.00033569
617,1498.2,4.3585,1542.7,-4.4438e-05,0.00035307
618,1498.6,4.3584,1542.7,-4.4439e-05,0.00037033
619,1498.9,4.3584,1542.6,-4.444e-05,0.00038747
620,1499.3,4.3584,1542.6,-4.4441e-05,0.00040448
621,1499.6,4.3583,1542.6,-4.4442e-05,0.00042136
622,1499.9,4.3583,1542.6,-4.4444e-05,0.00043812
623,1500.3,4.3582,1542.6,-4.4445e-05,0.00045476
624,1500.6,4.3582,1542.5,-4.4446e-05,0.00047127
625,1501,4.3581,1542.5,-4.4447e-05,0.00048766
626,1501.3,4.3581,1542.5,-4.4448e-05,0.00050394
627,1501.6,4.358,1542.5,-4.4449e-05,0.00052009
628,1501.9,4.358,1542.5,-4.445e-05,0.00053613
629,1502.3,4.358,1542.4,-4.4451e-05,0.00055204
630,1502.6,4.3579,1542.4,-4.4452e-05,0.00056784
631,1502.9,4.3579,1542.4,-4.4453e-05,0.00058352
632,1503.2,4.3578,1542.4,-4.4454e-05,0.00059909
633,1503.5,4.3578,1542.3,-4.4455e-05,0.00061454
634,1503.8,4.3577,1542.3,-4.4456e-05,0.00062988
635,1504.1,4.3577,1542.3,-4.4456e-05,0.00064511
636,1504.4,4.3576,1542.3,-4.4457e-05,0.00066022
637,1504.7,4.3576,1542.3,-4.4458e-05,0.00067522
638,1505,4.3576,1542.2,-4.4459e-05,0.00069011
639,1505.3,4.3575,1542.2,-4.446e-05,0.00070489
640,1505.6,4.3575,1542.2,-4.446e-05,0.00071956
641,1505.9,4.3574,1542.2,-4.4461e-05,0.00073412
642,1506.2,4.3574,1542.1,-4.4462e-05,0.00074858
643,1506.5,4.3573,1542.1,-4.4463e-05,0.00076292
644,1506.7,4.3573,1542.1,-4.4463e-05,0.00077716
645,1507,4.3572,1542.1,-4.4464e-05,0.00079129
646,1507.3,4.3572,1542.1,-4.4465e-05,0.00080532
647,1507.6,4.3572,1542,-4.4465e-05,0.00081925
648,1507.8,4.3571,1542,-4.4466e-05,0.00083307
649,1508.1,4.3571,1542,-4.4466e-05,0.00084679
650,1508.4,4.357,1542,-4.4467e-05,0.0008604
651,1508.6,4.357,1541.9,-4.4467e-05,0.00087392
652,1508.9,4.3569,1541.9,-4.4468e-05,0.00088733
653,1509.2,4.3569,1541.9,-4.4468e-05,0.00090064
654,1509.4,4.3568,1541.9,-4.4469e-05,0.00091386
655,1509.7,4.3568,1541.9,-4.4469e-05,0.00092697
656,1509.9,4.3568,1541.8,-4.447e-05,0.00093999
657,1510.2,4.3567,1541.8,-4.447e-05,0.00095291
658,1510.4,4.3567,1541.8,-4.4471e-05,0.00096573
659,1510.7,4.3566,1541.8,-4.4471e-05,0.00097846
660,1510.9,4.3566,1541.7,-4.4471e-05,0.00099109
661,1511.2,4.3565,1541.7,-4.4472e-05,0.0010036
662,1511.4,4.3565,1541.7,-4.4472e-05,0.0010161
663,1511.7,4.3564,1541.7,-4.4472e-05,0.0010284
664,1511.9,4.3564,1541.7,-4.4473e-05,0.0010407
665,1512.1,4.3564,1541.6,-4.4473e-05,0.0010528
666,1512.4,4.3563,1541.6,-4.4473e-05,0.0010649
667,1512.6,4.3563,1541.6,-4.4474e-05,0.0010769
668,1512.8,4.3562,1541.6,-4.4474e-05,0.0010888
669,1513,4.3562,1541.5,-4.4474e-05,0.0011006
670,1513.3,4.3561,1541.5,-4.4474e-05,0.0011123
671,1513.5,4.3561,1541.5,-4.4474e-05,0.0011239
672,1513.7,4.356,1541.5,-4.4475e-05,0.0011355
673,1513.9,4.356,1541.5,-4.4475e-05,0.0011469
