Tempo/s,VazaoEntrada,Level/m,Vazao,DeltaHt,DeltaQx
249,1422.8,3.1358,1514.5,0.0014047,0
250,1422.7,3.1373,1515.8,0.0014164,5.6829e-05
251,1422.7,3.1387,1517.2,0.001428,7.2809e-05
252,1422.7,3.1402,1518.5,0.0014396,4.8417e-05
253,1422.7,3.1416,1519.8,0.0014512,-1.587e-05
254,1422.7,3.1431,1521.2,0.0014627,-0.00011958
255,1422.8,3.1446,1522.5,0.0014742,-0.00026223
256,1422.8,3.1461,1523.9,0.0014857,-0.00044336
257,1422.9,3.1476,1525.3,0.0014971,-0.00066248
258,1423.1,3.1491,1526.7,0.0015085,-0.00091914
259,1423.2,3.1506,1528.1,0.0015198,-0.0012129
260,1423.4,3.1522,1529.5,0.0015311,-0.0015432
261,1423.6,3.1537,1530.9,0.0015423,-0.0019096
262,1423.8,3.1553,1532.3,0.0015535,-0.0023117
263,1424,3.1569,1533.8,0.0015647,-0.002749
264,1424.3,3.1585,1535.2,0.0015758,-0.003221
265,1424.6,3.1601,1536.7,0.0015868,-0.0037274
266,1424.9,3.1617,1538.1,0.0015978,-0.0042675
267,1425.3,3.1633,1539.6,0.0016087,-0.0048409
268,1425.6,3.1649,1541.1,0.0016196,-0.0054473
269,1426,3.1666,1542.6,0.0016304,-0.0060861
270,1426.4,3.1682,1544.1,0.0016412,-0.0067568
271,1426.9,3.1699,1545.6,0.0016519,-0.0074591
272,1427.3,3.1715,1547.1,0.0016625,-0.0081925
273,1427.8,3.1732,1548.7,0.0016731,-0.0089565
274,1428.3,3.1749,1550.2,0.0016836,-0.0097506
275,1428.9,3.1766,1551.8,0.001694,-0.010575
276,1429.4,3.1783,1553.3,0.0017044,-0.011428
277,1430,3.1801,1554.9,0.0017147,-0.01231
278,1430.6,3.1818,1556.5,0.0017249,-0.01322
279,1431.3,3.1835,1558.1,0.0017351,-0.014158
280,1431.9,3.1853,1559.7,0.0017452,-0.015124
281,1432.6,3.1871,1561.3,0.0017552,-0.016117
282,1433.3,3.1888,1562.9,0.0017651,-0.017136
283,1434.1,3.1906,1564.5,0.001775,-0.018182
284,1434.8,3.1924,1566.2,0.0017848,-0.019253
285,1435.6,3.1942,1567.8,0.0017945,-0.020349
286,1436.4,3.196,1569.4,0.0018041,-0.021471
287,1437.3,3.1979,1571.1,0.0018137,-0.022617
288,1438.1,3.1997,1572.8,0.0018231,-0.023786
289,1439,3.2015,1574.4,0.0018325,-0.02498
290,1439.9,3.2034,1576.1,0.0018418,-0.026196
291,1440.9,3.2052,1577.8,0.001851,-0.027435
292,1441.8,3.2071,1579.5,0.0018601,-0.028696
293,1442.8,3.209,1581.2,0.0018691,-0.02998
294,1443.8,3.2109,1582.9,0.0018781,-0.031284
295,1444.8,3.2128,1584.7,0.0018869,-0.03261
296,1445.9,3.2147,1586.4,0.0018957,-0.033956
297,1447,3.2166,1588.1,0.0019043,-0.035322
298,1448.1,3.2185,1589.9,0.0019129,-0.036707
299,1449.2,3.2204,1591.6,0.0019214,-0.038113
300,1450.4,3.2224,1593.4,0.0019298,-0.039536
301,1451.6,3.2243,1595.1,0.001938,-0.040979
302,1452.8,3.2263,1596.9,0.0019462,-0.042439
303,1454,3.2282,1598.7,0.0019543,-0.043917
304,1455.2,3.2302,1600.5,0.0019623,-0.045412
305,1456.5,3.2322,1602.3,0.0019702,-0.046924
306,1457.8,3.2342,1604.1,0.0019779,-0.048452
307,1459.1,3.2362,1605.9,0.0019856,-0.049996
308,1460.5,3.2382,1607.7,0.0019932,-0.051555
309,1461.8,3.2402,1609.5,0.0020006,-0.05313
310,1463.2,3.2422,1611.3,0.002008,-0.054719
311,1464.6,3.2442,1613.2,0.0020152,-0.056323
312,1466.1,3.2462,1615,0.0020224,-0.057941
313,1467.5,3.2483,1616.9,0.0020294,-0.059572
314,1469,3.2503,1618.7,0.0020364,-0.061216
315,1470.5,3.2524,1620.6,0.0020432,-0.062872
316,1472,3.2544,1622.4,0.0020499,-0.064541
317,1473.6,3.2565,1624.3,0.0020565,-0.066222
318,1475.2,3.2586,1626.2,0.002063,-0.067914
319,1476.7,3.2606,1628,0.0020693,-0.069618
320,1478.4,3.2627,1629.9,0.0020756,-0.071332
321,1480,3.2648,1631.8,0.0020817,-0.073056
322,1481.7,3.2669,1633.7,0.0020878,-0.07479
323,1483.3,3.269,1635.6,0.0020937,-0.076534
324,1485,3.2711,1637.5,0.0020995,-0.078286
325,1486.8,3.2732,1639.4,0.0021052,-0.080048
326,1488.5,3.2753,1641.3,0.0021107,-0.081818
327,1490.3,3.2775,1643.2,0.0021162,-0.083595
328,1492.1,3.2796,1645.2,0.0021215,-0.085381
329,1493.9,3.2817,1647.1,0.0021267,-0.087173
330,1495.7,3.2838,1649,0.0021318,-0.088972
331,1497.5,3.286,1650.9,0.0021368,-0.090778
332,1499.4,3.2881,1652.9,0.0021417,-0.092589
333,1501.3,3.2903,1654.8,0.0021464,-0.094407
