Tempo/s,VazaoEntrada,Level/m,Vazao,DeltaHt,DeltaQx
2400,1490.9,4.7235,1568.8,-4.9835e-05,0
2401,1491.6,4.7235,1568.8,-4.9833e-05,1.9282e-05
2402,1492.2,4.7234,1568.8,-4.9831e-05,3.8436e-05
2403,1492.8,4.7234,1568.8,-4.9829e-05,5.7465e-05
2404,1493.5,4.7233,1568.7,-4.9827e-05,7.6369e-05
2405,1494.1,4.7233,1568.7,-4.9825e-05,9.5147e-05
2406,1494.7,4.7232,1568.7,-4.9823e-05,0.0001138
2407,1495.3,4.7232,1568.7,-4.9821e-05,0.00013233
2408,1496,4.7231,1568.6,-4.9819e-05,0.00015074
2409,1496.6,4.7231,1568.6,-4.9817e-05,0.00016903
2410,1497.2,4.723,1568.6,-4.9815e-05,0.00018719
2411,1497.8,4.723,1568.6,-4.9813e-05,0.00020524
2412,1498.4,4.7229,1568.5,-4.9811e-05,0.00022316
2413,1499,4.7229,1568.5,-4.9809e-05,0.00024097
2414,1499.5,4.7228,1568.5,-4.9807e-05,0.00025865
2415,1500.1,4.7228,1568.5,-4.9805e-05,0.00027622
2416,1500.7,4.7227,1568.4,-4.9803e-05,0.00029367
2417,1501.3,4.7227,1568.4,-4.9801e-05,0.00031101
2418,1501.8,4.7226,1568.4,-4.9799e-05,0.00032823
2419,1502.4,4.7226,1568.4,-4.9797e-05,0.00034533
2420,1503,4.7225,1568.3,-4.9795e-05,0.00036232
2421,1503.5,4.7225,1568.3,-4.9793e-05,0.00037919
2422,1504.1,4.7224,1568.3,-4.9791e-05,0.00039595
2423,1504.6,4.7224,1568.3,-4.9789e-05,0.0004126
2424,1505.2,4.7223,1568.2,-4.9787e-05,0.00042914
2425,1505.7,4.7223,1568.2,-4.9785e-05,0.00044556
2426,1506.2,4.7222,1568.2,-4.9783e-05,0.00046187
2427,1506.7,4.7222,1568.1,-4.9781e-05,0.00047808
2428,1507.3,4.7221,1568.1,-4.9779e-05,0.00049417
2429,1507.8,4.7221,1568.1,-4.9777e-05,0.00051016
2430,1508.3,4.722,1568.1,-4.9775e-05,0.00052603
2431,1508.8,4.722,1568,-4.9773e-05,0.0005418
2432,1509.3,4.7219,1568,-4.9771e-05,0.00055746
2433,1509.8,4.7219,1568,-4.9769e-05,0.00057302
2434,1510.3,4.7218,1568,-4.9767e-05,0.00058847
2435,1510.8,4.7218,1567.9,-4.9765e-05,0.00060381
2436,1511.3,4.7217,1567.9,-4.9763e-05,0.00061905
2437,1511.8,4.7217,1567.9,-4.9761e-05,0.00063419
2438,1512.3,4.7216,1567.9,-4.9759e-05,0.00064922
2439,1512.8,4.7216,1567.8,-4.9757e-05,0.00066415
2440,1513.2,4.7215,1567.8,-4.9754e-05,0.00067898
2441,1513.7,4.7215,1567.8,-4.9752e-05,0.00069371
2442,1514.2,4.7214,1567.8,-4.975e-05,0.00070833
2443,1514.6,4.7214,1567.7,-4.9748e-05,0.00072286
2444,1515.1,4.7213,1567.7,-4.9746e-05,0.00073728
2445,1515.6,4.7213,1567.7,-4.9744e-05,0.00075161
2446,1516,4.7212,1567.7,-4.9742e-05,0.00076584
2447,1516.5,4.7212,1567.6,-4.974e-05,0.00077997
2448,1516.9,4.7211,1567.6,-4.9738e-05,0.000794
2449,1517.3,4.7211,1567.6,-4.9736e-05,0.00080794
2450,1517.8,4.721,1567.6,-4.9734e-05,0.00082178
2451,1518.2,4.721,1567.5,-4.9732e-05,0.00083552
2452,1518.6,4.7209,1567.5,-4.973e-05,0.00084917
2453,1519.1,4.7209,1567.5,-4.9728e-05,0.00086273
2454,1519.5,4.7208,1567.5,-4.9726e-05,0.00087619
2455,1519.9,4.7208,1567.4,-4.9724e-05,0.00088956
2456,1520.3,4.7207,1567.4,-4.9722e-05,0.00090283
2457,1520.8,4.7207,1567.4,-4.972e-05,0.00091601
2458,1521.2,4.7206,1567.3,-4.9718e-05,0.00092911
2459,1521.6,4.7206,1567.3,-4.9716e-05,0.00094211
2460,1522,4.7205,1567.3,-4.9714e-05,0.00095502
2461,1522.4,4.7205,1567.3,-4.9712e-05,0.00096784
2462,1522.8,4.7204,1567.2,-4.971e-05,0.00098057
2463,1523.2,4.7204,1567.2,-4.9708e-05,0.00099321
2464,1523.6,4.7203,1567.2,-4.9706e-05,0.0010058
2465,1523.9,4.7203,1567.2,-4.9704e-05,0.0010182
2466,1524.3,4.7202,1567.1,-4.9702e-05,0.0010306
2467,1524.7,4.7202,1567.1,-4.97e-05,0.0010429
2468,1525.1,4.7201,1567.1,-4.9698e-05,0.0010551
2469,1525.5,4.7201,1567.1,-4.9696e-05,0.0010672
2470,1525.8,4.72,1567,-4.9694e-05,0.0010793
2471,1526.2,4.72,1567,-4.9692e-05,0.0010912
2472,1526.6,4.7199,1567,-4.969e-05,0.0011031
2473,1526.9,4.7199,1567,-4.9688e-05,0.0011149
2474,1527.3,4.7198,1566.9,-4.9686e-05,0.0011266
2475,1527.6,4.7198,1566.9,-4.9684e-05,0.0011382
2476,1528,4.7197,1566.9,-4.9682e-05,0.0011497
2477,1528.3,4.7197,1566.9,-4.968e-05,0.0011612
2478,1528.7,4.7196,1566.8,-4.9678e-05,0.0011726
2479,1529,4.7196,1566.8,-4.9676e-05,0.0011839
2480,1529.4,4.7195,1566.8,-4.9674e-05,0.0011951
2481,1529.7,4.7195,1566.8,-4.9672e-05,0.0012062
2482,1530.1,4.7194,1566.7,-4.967e-05,0.0012173
2483,1530.4,4.7194,1566.7,-4.9668e-05,0.0012283
2484,1530.7,4.7193,1566.7,-4.9666e-05,0.0012392
2485,1531,4.7193,1566.7,-4.9664e-05,0.00125
2486,1531.4,4.7192,1566.6,-4.9661e-05,0.0012607
2487,1531.7,4.7192,1566.6,-4.9659e-05,0.0012714
2488,1532,4.7191,1566.6,-4.9657e-05,0.001282
2489,1532.3,4.7191,1566.6,-4.9655e-05,0.0012925
2490,1532.6,4.719,1566.5,-4.9653e-05,0.001303
2491,1533,4.719,1566.5,-4.9651e-05,0.0013134
2492,1533.3,4.7189,1566.5,-4.9649e-05,0.0013237
2493,1533.6,4.7189,1566.4,-4.9647e-05,0.0013339
2494,1533.9,4.7188,1566.4,-4.9645e-05,0.001344
2495,1534.2,4.7188,1566.4,-4.9643e-05,0.0013541
2496,1534.5,4.7187,1566.4,-4.9641e-05,0.0013641
2497,1534.8,4.7187,1566.3,-4.9639e-05,0.0013741
2498,1535.1,4.7186,1566.3,-4.9637e-05,0.0013839
2499,1535.4,4.7186,1566.3,-4.9635e-05,0.0013937
2500,1535.6,4.7185,1566.3,-4.9633e-05,0.0014035
2501,1535.9,4.7185,1566.2,-4.9631e-05,0.0014131
2502,1536.2,4.7184,1566.2,-4.9629e-05,0.0014227
2503,1536.5,4.7184,1566.2,-4.9627e-05,0.0014322
2504,1536.8,4.7183,1566.2,-4.9625e-05,0.0014417
2505,1537,4.7183,1566.1,-4.9623e-05,0.0014511
2506,1537.3,4.7182,1566.1,-4.9621e-05,0.0014604
2507,1537.6,4.7182,1566.1,-4.9619e-05,0.0014696
2508,1537.9,4.7181,1566.1,-4.9617e-05,0.0014788
2509,1538.1,4.7181,1566,-4.9615e-05,0.0014879
2510,1538.4,4.718,1566,-4.9613e-05,0.001497
2511,1538.7,4.718,1566,-4.9611e-05,0.001506
2512,1538.9,4.7179,1566,-4.9609e-05,0.0015149
2513,1539.2,4.7179,1565.9,-4.9607e-05,0.0015237
2514,1539.4,4.7178,1565.9,-4.9605e-05,0.0015325
2515,1539.7,4.7178,1565.9,-4.9603e-05,0.0015413
2516,1539.9,4.7177,1565.9,-4.9601e-05,0.0015499
2517,1540.2,4.7177,1565.8,-4.9599e-05,0.0015585
2518,1540.4,4.7176,1565.8,-4.9597e-05,0.0015671
2519,1540.7,4.7176,1565.8,-4.9595e-05,0.0015756
2520,1540.9,4.7175,1565.8,-4.9593e-05,0.001584
2521,1541.2,4.7175,1565.7,-4.9591e-05,0.0015923
2522,1541.4,4.7174,1565.7,-4.9589e-05,0.0016006
2523,1541.6,4.7174,1565.7,-4.9587e-05,0.0016089
2524,1541.9,4.7173,1565.7,-4.9585e-05,0.0016171
2525,1542.1,4.7173,1565.6,-4.9583e-05,0.0016252
2526,1542.3,4.7172,1565.6,-4.9581e-05,0.0016332
2527,1542.6,4.7172,1565.6,-4.9579e-05,0.0016412
2528,1542.8,4.7171,1565.6,-4.9577e-05,0.0016492
2529,1543,4.7171,1565.5,-4.9575e-05,0.0016571
2530,1543.2,4.717,1565.5,-4.9573e-05,0.0016649
2531,1543.5,4.717,1565.5,-4.9571e-05,0.0016727
2532,1543.7,4.7169,1565.4,-4.9569e-05,0.0016804
2533,1543.9,4.7169,1565.4,-4.9567e-05,0.0016881
2534,1544.1,4.7168,1565.4,-4.9565e-05,0.0016957
2535,1544.3,4.7168,1565.4,-4.9563e-05,0.0017032
2536,1544.5,4.7167,1565.3,-4.9561e-05,0.0017107
2537,1544.7,4.7167,1565.3,-4.9559e-05,0.0017181
2538,1544.9,4.7166,1565.3,-4.9557e-05,0.0017255
2539,1545.2,4.7166,1565.3,-4.9555e-05,0.0017329
2540,1545.4,4.7165,1565.2,-4.9552e-05,0.0017401
2541,1545.6,4.7165,1565.2,-4.955e-05,0.0017474
2542,1545.8,4.7164,1565.2,-4.9548e-05,0.0017545
2543,1546,4.7164,1565.2,-4.9546e-05,0.0017616
2544,1546.2,4.7163,1565.1,-4.9544e-05,0.0017687
2545,1546.3,4.7163,1565.1,-4.9542e-05,0.0017757
2546,1546.5,4.7162,1565.1,-4.954e-05,0.0017827
2547,1546.7,4.7162,1565.1,-4.9538e-05,0.0017896
2548,1546.9,4.7161,1565,-4.9536e-05,0.0017965
2549,1547.1,4.7161,1565,-4.9534e-05,0.0018033
2550,1547.3,4.716,1565,-4.9532e-05,0.00181
2551,1547.5,4.716,1565,-4.953e-05,0.0018167
