Tempo/s,VazaoEntrada,Level/m,Vazao,DeltaHt,DeltaQx
720,1490.9,4.5622,1574.8,-4.8375e-05,0
721,1491.6,4.5621,1574.8,-4.8375e-05,1.9282e-05
722,1492.2,4.5621,1574.8,-4.8375e-05,3.8436e-05
723,1492.8,4.562,1574.8,-4.8375e-05,5.7465e-05
724,1493.5,4.562,1574.7,-4.8375e-05,7.6369e-05
725,1494.1,4.5619,1574.7,-4.8375e-05,9.5147e-05
726,1494.7,4.5619,1574.7,-4.8374e-05,0.0001138
727,1495.3,4.5618,1574.7,-4.8374e-05,0.00013233
728,1496,4.5618,1574.6,-4.8374e-05,0.00015074
729,1496.6,4.5617,1574.6,-4.8374e-05,0.00016903
730,1497.2,4.5617,1574.6,-4.8374e-05,0.00018719
731,1497.8,4.5616,1574.6,-4.8373e-05,0.00020524
732,1498.4,4.5616,1574.5,-4.8373e-05,0.00022316
733,1499,4.5615,1574.5,-4.8373e-05,0.00024097
734,1499.5,4.5615,1574.5,-4.8372e-05,0.00025865
735,1500.1,4.5614,1574.5,-4.8372e-05,0.00027622
736,1500.7,4.5614,1574.4,-4.8372e-05,0.00029367
737,1501.3,4.5613,1574.4,-4.8371e-05,0.00031101
738,1501.8,4.5613,1574.4,-4.8371e-05,0.00032823
739,1502.4,4.5612,1574.4,-4.8371e-05,0.00034533
740,1503,4.5612,1574.4,-4.837e-05,0.00036232
741,1503.5,4.5611,1574.3,-4.837e-05,0.00037919
742,1504.1,4.5611,1574.3,-4.8369e-05,0.00039595
743,1504.6,4.561,1574.3,-4.8369e-05,0.0004126
744,1505.2,4.561,1574.3,-4.8369e-05,0.00042914
745,1505.7,4.5609,1574.2,-4.8368e-05,0.00044556
746,1506.2,4.5609,1574.2,-4.8368e-05,0.00046187
747,1506.7,4.5609,1574.2,-4.8367e-05,0.00047808
748,1507.3,4.5608,1574.2,-4.8367e-05,0.00049417
749,1507.8,4.5608,1574.1,-4.8366e-05,0.00051016
750,1508.3,4.5607,1574.1,-4.8366e-05,0.00052603
751,1508.8,4.5607,1574.1,-4.8365e-05,0.0005418
752,1509.3,4.5606,1574.1,-4.8365e-05,0.00055746
753,1509.8,4.5606,1574,-4.8364e-05,0.00057302
754,1510.3,4.5605,1574,-4.8364e-05,0.00058847
755,1510.8,4.5605,1574,-4.8363e-05,0.00060381
756,1511.3,4.5604,1574,-4.8362e-05,0.00061905
757,1511.8,4.5604,1573.9,-4.8362e-05,0.00063419
758,1512.3,4.5603,1573.9,-4.8361e-05,0.00064922
759,1512.8,4.5603,1573.9,-4.8361e-05,0.00066415
760,1513.2,4.5602,1573.9,-4.836e-05,0.00067898
761,1513.7,4.5602,1573.8,-4.8359e-05,0.00069371
762,1514.2,4.5601,1573.8,-4.8359e-05,0.00070833
763,1514.6,4.5601,1573.8,-4.8358e-05,0.00072286
764,1515.1,4.56,1573.8,-4.8358e-05,0.00073728
765,1515.6,4.56,1573.7,-4.8357e-05,0.00075161
766,1516,4.5599,1573.7,-4.8356e-05,0.00076584
767,1516.5,4.5599,1573.7,-4.8356e-05,0.00077997
768,1516.9,4.5598,1573.7,-4.8355e-05,0.000794
769,1517.3,4.5598,1573.7,-4.8354e-05,0.00080794
770,1517.8,4.5597,1573.6,-4.8353e-05,0.00082178
