Tempo/s,VazaoEntrada,Level/m,Vazao,DeltaHt,DeltaQx
747,1033.8,3.7394,1132.5,-9.9369e-05,0
748,1034.6,3.7393,1132.4,-9.936e-05,4.1511e-05
749,1035.4,3.7392,1132.4,-9.9351e-05,8.2754e-05
750,1036.3,3.7391,1132.3,-9.9342e-05,0.00012373
751,1037.1,3.739,1132.3,-9.9333e-05,0.00016444
752,1037.9,3.7389,1132.2,-9.9324e-05,0.00020488
753,1038.7,3.7388,1132.2,-9.9315e-05,0.00024506
754,1039.4,3.7387,1132.1,-9.9306e-05,0.00028498
755,1040.2,3.7386,1132.1,-9.9297e-05,0.00032463
756,1041,3.7385,1132,-9.9288e-05,0.00036403
757,1041.8,3.7384,1132,-9.9279e-05,0.00040316
758,1042.5,3.7383,1131.9,-9.927e-05,0.00044203
759,1043.3,3.7382,1131.9,-9.9261e-05,0.00048065
760,1044,3.7381,1131.9,-9.9252e-05,0.00051901
761,1044.8,3.738,1131.8,-9.9243e-05,0.00055711
762,1045.5,3.7379,1131.8,-9.9234e-05,0.00059496
763,1046.2,3.7378,1131.7,-9.9225e-05,0.00063256
764,1046.9,3.7377,1131.7,-9.9216e-05,0.0006699
765,1047.6,3.7376,1131.6,-9.9207e-05,0.000707
766,1048.4,3.7375,1131.6,-9.9197e-05,0.00074384
767,1049.1,3.7374,1131.5,-9.9188e-05,0.00078043
768,1049.7,3.7373,1131.5,-9.9179e-05,0.00081678
769,1050.4,3.7372,1131.4,-9.917e-05,0.00085288
770,1051.1,3.7371,1131.4,-9.9161e-05,0.00088873
771,1051.8,3.737,1131.3,-9.9151e-05,0.00092434
772,1052.5,3.7369,1131.3,-9.9142e-05,0.00095971
773,1053.1,3.7368,1131.3,-9.9133e-05,0.00099483
774,1053.8,3.7367,1131.2,-9.9124e-05,0.0010297
775,1054.4,3.7366,1131.2,-9.9114e-05,0.0010644
776,1055.1,3.7365,1131.1,-9.9105e-05,0.0010988
777,1055.7,3.7364,1131.1,-9.9096e-05,0.0011329
778,1056.4,3.7363,1131,-9.9086e-05,0.0011669
779,1057,3.7362,1131,-9.9077e-05,0.0012006
780,1057.6,3.7361,1130.9,-9.9068e-05,0.001234
781,1058.2,3.736,1130.9,-9.9058e-05,0.0012673
782,1058.8,3.7359,1130.8,-9.9049e-05,0.0013003
783,1059.4,3.7358,1130.8,-9.904e-05,0.001333
784,1060,3.7357,1130.7,-9.903e-05,0.0013656
785,1060.6,3.7356,1130.7,-9.9021e-05,0.0013979
786,1061.2,3.7355,1130.7,-9.9011e-05,0.00143
787,1061.8,3.7354,1130.6,-9.9002e-05,0.0014618
788,1062.4,3.7353,1130.6,-9.8992e-05,0.0014934
789,1063,3.7352,1130.5,-9.8983e-05,0.0015249
790,1063.5,3.7351,1130.5,-9.8973e-05,0.001556
791,1064.1,3.735,1130.4,-9.8964e-05,0.001587
792,1064.7,3.7349,1130.4,-9.8954e-05,0.0016177
793,1065.2,3.7348,1130.3,-9.8945e-05,0.0016483
794,1065.8,3.7347,1130.3,-9.8935e-05,0.0016786
795,1066.3,3.7346,1130.2,-9.8926e-05,0.0017087
796,1066.8,3.7345,1130.2,-9.8916e-05,0.0017386
797,1067.4,3.7344,1130.2,-9.8907e-05,0.0017682
798,1067.9,3.7343,1130.1,-9.8897e-05,0.0017977
799,1068.4,3.7342,1130.1,-9.8887e-05,0.0018269
800,1068.9,3.7341,1130,-9.8878e-05,0.0018559
801,1069.4,3.734,1130,-9.8868e-05,0.0018848
802,1070,3.7339,1129.9,-9.8859e-05,0.0019134
803,1070.5,3.7338,1129.9,-9.8849e-05,0.0019418
804,1071,3.7337,1129.8,-9.8839e-05,0.00197
805,1071.5,3.7336,1129.8,-9.883e-05,0.001998
806,1071.9,3.7335,1129.7,-9.882e-05,0.0020258
807,1072.4,3.7334,1129.7,-9.881e-05,0.0020533
808,1072.9,3.7333,1129.6,-9.8801e-05,0.0020807
809,1073.4,3.7332,1129.6,-9.8791e-05,0.0021079
810,1073.9,3.7331,1129.6,-9.8781e-05,0.0021349
811,1074.3,3.733,1129.5,-9.8771e-05,0.0021617
812,1074.8,3.7329,1129.5,-9.8762e-05,0.0021883
813,1075.2,3.7328,1129.4,-9.8752e-05,0.0022147
814,1075.7,3.7327,1129.4,-9.8742e-05,0.0022409
815,1076.1,3.7326,1129.3,-9.8732e-05,0.0022669
816,1076.6,3.7325,1129.3,-9.8723e-05,0.0022927
817,1077,3.7324,1129.2,-9.8713e-05,0.0023183
818,1077.5,3.7323,1129.2,-9.8703e-05,0.0023438
819,1077.9,3.7322,1129.1,-9.8693e-05,0.002369
820,1078.3,3.7321,1129.1,-9.8684e-05,0.0023941
821,1078.7,3.732,1129,-9.8674e-05,0.0024189
822,1079.2,3.7319,1129,-9.8664e-05,0.0024436
823,1079.6,3.7318,1129,-9.8654e-05,0.0024681
