Tempo/s,VazaoEntrada,Level/m,Vazao,DeltaHt,DeltaQx
1438,1490.9,4.2518,1512.8,-3.549e-06,0
1439,1491.1,4.2518,1512.8,-3.1872e-06,2.033e-05
1440,1491.3,4.2518,1512.8,-2.8228e-06,4.0501e-05
1441,1491.4,4.2518,1512.8,-2.4558e-06,6.0512e-05
1442,1491.6,4.2518,1512.8,-2.0862e-06,8.0366e-05
1443,1491.8,4.2518,1512.8,-1.7139e-06,0.00010006
1444,1491.9,4.2518,1512.8,-1.3389e-06,0.0001196
1445,1492.1,4.2518,1512.8,-9.6129e-07,0.00013899
1446,1492.3,4.2518,1512.8,-5.8099e-07,0.00015823
1447,1492.4,4.2518,1512.8,-1.9801e-07,0.00017731
1448,1492.6,4.2518,1512.8,1.8768e-07,0.00019624
1449,1492.7,4.2518,1512.8,5.7607e-07,0.00021503
1450,1492.9,4.2518,1512.8,9.6719e-07,0.00023366
1451,1493,4.2518,1512.8,1.361e-06,0.00025215
1452,1493.2,4.2518,1512.8,1.7576e-06,0.00027049
1453,1493.3,4.2518,1512.8,2.157e-06,0.00028868
1454,1493.5,4.2518,1512.9,2.5591e-06,0.00030674
1455,1493.6,4.2518,1512.9,2.964e-06,0.00032464
1456,1493.8,4.2518,1512.9,3.3717e-06,0.00034241
1457,1493.9,4.2518,1512.9,3.7821e-06,0.00036004
1458,1494.1,4.2518,1512.9,4.1954e-06,0.00037753
1459,1494.2,4.2518,1512.9,4.6115e-06,0.00039487
1460,1494.4,4.2518,1512.9,5.0305e-06,0.00041208
1461,1494.5,4.2518,1512.9,5.4523e-06,0.00042916
1462,1494.6,4.2518,1512.9,5.8769e-06,0.0004461
1463,1494.8,4.2518,1512.9,6.3044e-06,0.0004629
1464,1494.9,4.2519,1512.9,6.7348e-06,0.00047957
1465,1495,4.2519,1512.9,7.168e-06,0.00049611
1466,1495.2,4.2519,1513,7.6042e-06,0.00051252
1467,1495.3,4.2519,1513,8.0432e-06,0.0005288
1468,1495.4,4.2519,1513,8.4852e-06,0.00054494
1469,1495.6,4.2519,1513,8.9301e-06,0.00056096
1470,1495.7,4.2519,1513,9.3779e-06,0.00057685
1471,1495.8,4.2519,1513,9.8287e-06,0.00059262
1472,1495.9,4.2519,1513,1.0282e-05,0.00060826
1473,1496.1,4.2519,1513,1.0739e-05,0.00062377
1474,1496.2,4.2519,1513,1.1199e-05,0.00063917
1475,1496.3,4.252,1513,1.1662e-05,0.00065444
1476,1496.4,4.252,1513.1,1.2127e-05,0.00066958
1477,1496.6,4.252,1513.1,1.2596e-05,0.00068461
1478,1496.7,4.252,1513.1,1.3068e-05,0.00069952
1479,1496.8,4.252,1513.1,1.3542e-05,0.00071431
1480,1496.9,4.252,1513.1,1.402e-05,0.00072898
1481,1497,4.252,1513.1,1.4501e-05,0.00074353
1482,1497.1,4.2521,1513.1,1.4985e-05,0.00075797
1483,1497.2,4.2521,1513.2,1.5472e-05,0.00077229
1484,1497.4,4.2521,1513.2,1.5962e-05,0.00078649
1485,1497.5,4.2521,1513.2,1.6455e-05,0.00080059
1486,1497.6,4.2521,1513.2,1.6951e-05,0.00081457
1487,1497.7,4.2521,1513.2,1.745e-05,0.00082844
1488,1497.8,4.2522,1513.2,1.7953e-05,0.0008422
1489,1497.9,4.2522,1513.3,1.8458e-05,0.00085585
1490,1498,4.2522,1513.3,1.8967e-05,0.00086938
1491,1498.1,4.2522,1513.3,1.9479e-05,0.00088282
1492,1498.2,4.2522,1513.3,1.9994e-05,0.00089614
1493,1498.3,4.2523,1513.3,2.0512e-05,0.00090936
1494,1498.4,4.2523,1513.3,2.1033e-05,0.00092247
1495,1498.5,4.2523,1513.4,2.1558e-05,0.00093547
