Tempo/s,VazaoEntrada,Level/m,Vazao,DeltaHt,DeltaQx
718,1490.9,4.9249,1630.3,-5.5052e-05,0
719,1491.9,4.9249,1630.3,-5.5052e-05,1.8279e-05
720,1493,4.9248,1630.3,-5.5053e-05,3.6457e-05
721,1494,4.9248,1630.3,-5.5054e-05,5.4535e-05
722,1495,4.9247,1630.2,-5.5055e-05,7.2511e-05
723,1496,4.9247,1630.2,-5.5055e-05,9.0388e-05
724,1497,4.9246,1630.2,-5.5056e-05,0.00010816
725,1497.9,4.9246,1630.2,-5.5057e-05,0.00012584
726,1498.9,4.9245,1630.2,-5.5057e-05,0.00014342
727,1499.9,4.9245,1630.1,-5.5058e-05,0.0001609
728,1500.8,4.9244,1630.1,-5.5058e-05,0.00017828
729,1501.8,4.9243,1630.1,-5.5059e-05,0.00019556
730,1502.7,4.9243,1630.1,-5.5059e-05,0.00021275
731,1503.7,4.9242,1630,-5.506e-05,0.00022984
732,1504.6,4.9242,1630,-5.506e-05,0.00024683
733,1505.5,4.9241,1630,-5.5061e-05,0.00026372
734,1506.5,4.9241,1630,-5.5061e-05,0.00028052
735,1507.4,4.924,1629.9,-5.5062e-05,0.00029722
736,1508.3,4.924,1629.9,-5.5062e-05,0.00031383
737,1509.2,4.9239,1629.9,-5.5063e-05,0.00033034
738,1510.1,4.9238,1629.9,-5.5063e-05,0.00034676
739,1510.9,4.9238,1629.8,-5.5063e-05,0.00036308
740,1511.8,4.9237,1629.8,-5.5064e-05,0.00037931
741,1512.7,4.9237,1629.8,-5.5064e-05,0.00039545
742,1513.6,4.9236,1629.8,-5.5064e-05,0.00041149
743,1514.4,4.9236,1629.7,-5.5065e-05,0.00042744
744,1515.3,4.9235,1629.7,-5.5065e-05,0.0004433
745,1516.1,4.9235,1629.7,-5.5065e-05,0.00045907
746,1517,4.9234,1629.7,-5.5065e-05,0.00047474
747,1517.8,4.9233,1629.7,-5.5066e-05,0.00049032
748,1518.6,4.9233,1629.6,-5.5066e-05,0.00050581
749,1519.5,4.9232,1629.6,-5.5066e-05,0.00052122
750,1520.3,4.9232,1629.6,-5.5066e-05,0.00053653
751,1521.1,4.9231,1629.6,-5.5066e-05,0.00055175
752,1521.9,4.9231,1629.5,-5.5066e-05,0.00056688
753,1522.7,4.923,1629.5,-5.5067e-05,0.00058192
754,1523.5,4.923,1629.5,-5.5067e-05,0.00059688
755,1524.3,4.9229,1629.5,-5.5067e-05,0.00061174
756,1525.1,4.9229,1629.4,-5.5067e-05,0.00062652
757,1525.8,4.9228,1629.4,-5.5067e-05,0.00064121
758,1526.6,4.9227,1629.4,-5.5067e-05,0.00065582
759,1527.4,4.9227,1629.4,-5.5067e-05,0.00067034
760,1528.1,4.9226,1629.3,-5.5067e-05,0.00068477
761,1528.9,4.9226,1629.3,-5.5067e-05,0.00069911
762,1529.6,4.9225,1629.3,-5.5067e-05,0.00071337
763,1530.4,4.9225,1629.3,-5.5067e-05,0.00072755
764,1531.1,4.9224,1629.2,-5.5067e-05,0.00074164
765,1531.8,4.9224,1629.2,-5.5067e-05,0.00075564
766,1532.6,4.9223,1629.2,-5.5067e-05,0.00076957
767,1533.3,4.9222,1629.2,-5.5067e-05,0.0007834
768,1534,4.9222,1629.1,-5.5067e-05,0.00079716
769,1534.7,4.9221,1629.1,-5.5066e-05,0.00081083
770,1535.4,4.9221,1629.1,-5.5066e-05,0.00082442
771,1536.1,4.922,1629.1,-5.5066e-05,0.00083793
772,1536.8,4.922,1629,-5.5066e-05,0.00085136
773,1537.5,4.9219,1629,-5.5066e-05,0.0008647
774,1538.2,4.9219,1629,-5.5066e-05,0.00087797
775,1538.8,4.9218,1629,-5.5065e-05,0.00089115
776,1539.5,4.9218,1628.9,-5.5065e-05,0.00090425
777,1540.2,4.9217,1628.9,-5.5065e-05,0.00091728
778,1540.8,4.9216,1628.9,-5.5065e-05,0.00093022
779,1541.5,4.9216,1628.9,-5.5064e-05,0.00094309
780,1542.2,4.9215,1628.8,-5.5064e-05,0.00095588
781,1542.8,4.9215,1628.8,-5.5064e-05,0.00096859
782,1543.4,4.9214,1628.8,-5.5064e-05,0.00098122
783,1544.1,4.9214,1628.8,-5.5063e-05,0.00099377
784,1544.7,4.9213,1628.7,-5.5063e-05,0.0010062
785,1545.3,4.9213,1628.7,-5.5063e-05,0.0010186
786,1546,4.9212,1628.7,-5.5062e-05,0.001031
787,1546.6,4.9211,1628.7,-5.5062e-05,0.0010432
788,1547.2,4.9211,1628.6,-5.5062e-05,0.0010554
789,1547.8,4.921,1628.6,-5.5061e-05,0.0010675
790,1548.4,4.921,1628.6,-5.5061e-05,0.0010795
791,1549,4.9209,1628.6,-5.506e-05,0.0010915
792,1549.6,4.9209,1628.5,-5.506e-05,0.0011033
793,1550.2,4.9208,1628.5,-5.506e-05,0.0011151
794,1550.8,4.9208,1628.5,-5.5059e-05,0.0011269
795,1551.4,4.9207,1628.5,-5.5059e-05,0.0011385
796,1551.9,4.9207,1628.4,-5.5058e-05,0.0011501
797,1552.5,4.9206,1628.4,-5.5058e-05,0.0011616
798,1553.1,4.9205,1628.4,-5.5057e-05,0.001173
799,1553.6,4.9205,1628.4,-5.5057e-05,0.0011844
800,1554.2,4.9204,1628.3,-5.5056e-05,0.0011957
801,1554.8,4.9204,1628.3,-5.5056e-05,0.0012069
802,1555.3,4.9203,1628.3,-5.5055e-05,0.0012181
803,1555.9,4.9203,1628.3,-5.5055e-05,0.0012292
804,1556.4,4.9202,1628.2,-5.5054e-05,0.0012402
805,1556.9,4.9202,1628.2,-5.5053e-05,0.0012511
806,1557.5,4.9201,1628.2,-5.5053e-05,0.001262
807,1558,4.92,1628.1,-5.5052e-05,0.0012728
808,1558.5,4.92,1628.1,-5.5052e-05,0.0012836
809,1559.1,4.9199,1628.1,-5.5051e-05,0.0012942
810,1559.6,4.9199,1628.1,-5.505e-05,0.0013048
811,1560.1,4.9198,1628,-5.505e-05,0.0013154
812,1560.6,4.9198,1628,-5.5049e-05,0.0013258
813,1561.1,4.9197,1628,-5.5048e-05,0.0013362
814,1561.6,4.9197,1628,-5.5048e-05,0.0013466
815,1562.1,4.9196,1627.9,-5.5047e-05,0.0013569
816,1562.6,4.9196,1627.9,-5.5046e-05,0.0013671
