Tempo/s,VazaoEntrada,Level/m,Vazao,DeltaHt,DeltaQx
858,1033.8,4.5663,1233.2,-0.00014006,0
859,1035.4,4.5662,1233.2,-0.00014005,3.4967e-05
860,1037,4.5661,1233.1,-0.00014004,6.9823e-05
861,1038.6,4.5659,1233.1,-0.00014003,0.00010457
862,1040.1,4.5658,1233,-0.00014001,0.0001392
863,1041.7,4.5656,1233,-0.00014,0.00017372
864,1043.2,4.5655,1232.9,-0.00013999,0.00020812
865,1044.8,4.5654,1232.8,-0.00013998,0.00024241
866,1046.3,4.5652,1232.8,-0.00013997,0.00027659
867,1047.8,4.5651,1232.7,-0.00013996,0.00031065
868,1049.3,4.5649,1232.7,-0.00013995,0.00034459
869,1050.8,4.5648,1232.6,-0.00013994,0.00037842
870,1052.3,4.5647,1232.6,-0.00013993,0.00041213
871,1053.7,4.5645,1232.5,-0.00013992,0.00044572
872,1055.2,4.5644,1232.4,-0.00013991,0.0004792
873,1056.7,4.5642,1232.4,-0.00013989,0.00051255
874,1058.1,4.5641,1232.3,-0.00013988,0.00054579
875,1059.5,4.564,1232.3,-0.00013987,0.00057891
876,1061,4.5638,1232.2,-0.00013986,0.00061191
877,1062.4,4.5637,1232.2,-0.00013985,0.00064478
878,1063.8,4.5635,1232.1,-0.00013984,0.00067754
879,1065.2,4.5634,1232.1,-0.00013983,0.00071018
880,1066.5,4.5633,1232,-0.00013982,0.00074269
881,1067.9,4.5631,1231.9,-0.0001398,0.00077509
882,1069.3,4.563,1231.9,-0.00013979,0.00080736
883,1070.6,4.5628,1231.8,-0.00013978,0.00083951
884,1072,4.5627,1231.8,-0.00013977,0.00087153
885,1073.3,4.5626,1231.7,-0.00013976,0.00090344
886,1074.6,4.5624,1231.7,-0.00013975,0.00093522
887,1075.9,4.5623,1231.6,-0.00013974,0.00096688
888,1077.2,4.5621,1231.5,-0.00013973,0.00099841
889,1078.5,4.562,1231.5,-0.00013971,0.0010298
