Tempo/s,VazaoEntrada,Level/m,Vazao,DeltaHt,DeltaQx
496,1422.8,3.1526,1445.5,-1.4717e-05,0
497,1422.9,3.1526,1445.5,-1.3866e-05,5.5267e-05
498,1423.1,3.1526,1445.5,-1.3005e-05,0.00011003
499,1423.3,3.1526,1445.5,-1.2132e-05,0.00016428
500,1423.4,3.1526,1445.5,-1.1248e-05,0.00021804
501,1423.6,3.1526,1445.5,-1.0353e-05,0.0002713
502,1423.7,3.1526,1445.6,-9.446e-06,0.00032406
503,1423.9,3.1526,1445.6,-8.5276e-06,0.00037635
504,1424,3.1526,1445.6,-7.5976e-06,0.00042815
505,1424.2,3.1526,1445.6,-6.6559e-06,0.00047947
506,1424.3,3.1526,1445.6,-5.7024e-06,0.00053032
507,1424.5,3.1525,1445.6,-4.7369e-06,0.00058069
508,1424.6,3.1525,1445.6,-3.7594e-06,0.0006306
509,1424.8,3.1525,1445.6,-2.7699e-06,0.00068005
510,1424.9,3.1525,1445.6,-1.7682e-06,0.00072905
511,1425,3.1525,1445.6,-7.5429e-07,0.00077759
512,1425.2,3.1525,1445.6,2.7199e-07,0.00082567
513,1425.3,3.1525,1445.7,1.3107e-06,0.00087332
514,1425.4,3.1525,1445.7,2.3619e-06,0.00092052
515,1425.6,3.1526,1445.7,3.4257e-06,0.00096728
516,1425.7,3.1526,1445.7,4.5022e-06,0.0010136
517,1425.8,3.1526,1445.7,5.5914e-06,0.0010595
518,1425.9,3.1526,1445.7,6.6935e-06,0.001105
519,1426.1,3.1526,1445.8,7.8086e-06,0.00115
520,1426.2,3.1526,1445.8,8.9366e-06,0.0011947
521,1426.3,3.1526,1445.8,1.0078e-05,0.0012389
522,1426.4,3.1526,1445.8,1.1232e-05,0.0012827
523,1426.5,3.1526,1445.9,1.24e-05,0.0013261
524,1426.6,3.1526,1445.9,1.3581e-05,0.0013691
525,1426.8,3.1527,1445.9,1.4775e-05,0.0014117
526,1426.9,3.1527,1445.9,1.5983e-05,0.0014539
527,1427,3.1527,1446,1.7204e-05,0.0014957
528,1427.1,3.1527,1446,1.844e-05,0.0015371
529,1427.2,3.1527,1446,1.9689e-05,0.0015781
530,1427.3,3.1528,1446,2.0951e-05,0.0016187
531,1427.4,3.1528,1446.1,2.2228e-05,0.001659
532,1427.5,3.1528,1446.1,2.3519e-05,0.0016989
533,1427.6,3.1528,1446.1,2.4823e-05,0.0017384
534,1427.7,3.1529,1446.2,2.6142e-05,0.0017775
535,1427.8,3.1529,1446.2,2.7475e-05,0.0018163
536,1427.9,3.1529,1446.3,2.8823e-05,0.0018547
537,1428,3.153,1446.3,3.0185e-05,0.0018928
538,1428.1,3.153,1446.3,3.1561e-05,0.0019304
539,1428.2,3.153,1446.4,3.2952e-05,0.0019678
540,1428.3,3.1531,1446.4,3.4357e-05,0.0020048
541,1428.4,3.1531,1446.5,3.5777e-05,0.0020414
542,1428.4,3.1531,1446.5,3.7212e-05,0.0020777
543,1428.5,3.1532,1446.6,3.8662e-05,0.0021137
544,1428.6,3.1532,1446.6,4.0127e-05,0.0021493
545,1428.7,3.1533,1446.7,4.1606e-05,0.0021846
546,1428.8,3.1533,1446.7,4.3101e-05,0.0022195
547,1428.9,3.1533,1446.8,4.4611e-05,0.0022541
548,1428.9,3.1534,1446.8,4.6135e-05,0.0022884
549,1429,3.1534,1446.9,4.7676e-05,0.0023224
550,1429.1,3.1535,1446.9,4.9231e-05,0.002356
551,1429.2,3.1535,1447,5.0802e-05,0.0023894
552,1429.2,3.1536,1447,5.2388e-05,0.0024224
553,1429.3,3.1537,1447.1,5.399e-05,0.0024551
554,1429.4,3.1537,1447.2,5.5608e-05,0.0024875
555,1429.5,3.1538,1447.2,5.7241e-05,0.0025196
556,1429.5,3.1538,1447.3,5.8889e-05,0.0025513
557,1429.6,3.1539,1447.3,6.0554e-05,0.0025828
558,1429.7,3.154,1447.4,6.2234e-05,0.002614
559,1429.7,3.154,1447.5,6.3931e-05,0.0026449
560,1429.8,3.1541,1447.5,6.5643e-05,0.0026755
561,1429.9,3.1542,1447.6,6.7371e-05,0.0027058
562,1429.9,3.1542,1447.7,6.9116e-05,0.0027358
563,1430,3.1543,1447.8,7.0876e-05,0.0027655
564,1430,3.1544,1447.8,7.2653e-05,0.0027949
565,1430.1,3.1545,1447.9,7.4446e-05,0.002824
566,1430.2,3.1545,1448,7.6255e-05,0.0028529
567,1430.2,3.1546,1448.1,7.808e-05,0.0028815
568,1430.3,3.1547,1448.2,7.9922e-05,0.0029098
569,1430.3,3.1548,1448.2,8.1781e-05,0.0029378
570,1430.4,3.1549,1448.3,8.3655e-05,0.0029656
571,1430.4,3.155,1448.4,8.5547e-05,0.0029931
572,1430.5,3.155,1448.5,8.7455e-05,0.0030203
573,1430.5,3.1551,1448.6,8.9379e-05,0.0030472
574,1430.6,3.1552,1448.7,9.1321e-05,0.0030739
575,1430.6,3.1553,1448.8,9.3279e-05,0.0031003
576,1430.7,3.1554,1448.9,9.5254e-05,0.0031265
577,1430.7,3.1555,1449,9.7245e-05,0.0031523
578,1430.8,3.1556,1449.1,9.9254e-05,0.003178
579,1430.8,3.1557,1449.2,0.00010128,0.0032033
580,1430.9,3.1558,1449.3,0.00010332,0.0032285
581,1430.9,3.1559,1449.4,0.00010538,0.0032533
582,1431,3.156,1449.5,0.00010746,0.0032779
583,1431,3.1562,1449.6,0.00010955,0.0033022
584,1431,3.1563,1449.7,0.00011166,0.0033263
585,1431.1,3.1564,1449.8,0.00011379,0.0033501
586,1431.1,3.1565,1449.9,0.00011593,0.0033737
587,1431.2,3.1566,1450,0.00011809,0.003397
588,1431.2,3.1567,1450.2,0.00012027,0.0034201
589,1431.2,3.1569,1450.3,0.00012247,0.0034429
590,1431.3,3.157,1450.4,0.00012468,0.0034655
591,1431.3,3.1571,1450.5,0.00012691,0.0034878
592,1431.3,3.1573,1450.6,0.00012916,0.0035099
593,1431.4,3.1574,1450.8,0.00013143,0.0035317
594,1431.4,3.1575,1450.9,0.00013371,0.0035532
595,1431.4,3.1577,1451,0.00013601,0.0035746
596,1431.5,3.1578,1451.2,0.00013833,0.0035956
597,1431.5,3.158,1451.3,0.00014066,0.0036164
598,1431.5,3.1581,1451.4,0.00014302,0.0036369
599,1431.6,3.1582,1451.6,0.00014538,0.0036572
600,1431.6,3.1584,1451.7,0.00014777,0.0036773
601,1431.6,3.1585,1451.8,0.00015018,0.003697
602,1431.6,3.1587,1452,0.0001526,0.0037165
603,1431.7,3.1589,1452.1,0.00015504,0.0037358
604,1431.7,3.159,1452.3,0.00015749,0.0037548
605,1431.7,3.1592,1452.4,0.00015997,0.0037735
606,1431.7,3.1593,1452.6,0.00016246,0.003792
607,1431.8,3.1595,1452.7,0.00016497,0.0038102
608,1431.8,3.1597,1452.9,0.0001675,0.0038281
609,1431.8,3.1599,1453.1,0.00017004,0.0038457
610,1431.8,3.16,1453.2,0.0001726,0.0038631
611,1431.8,3.1602,1453.4,0.00017518,0.0038802
612,1431.9,3.1604,1453.6,0.00017778,0.003897
613,1431.9,3.1606,1453.7,0.00018039,0.0039135
614,1431.9,3.1608,1453.9,0.00018302,0.0039297
615,1431.9,3.1609,1454.1,0.00018567,0.0039457
616,1431.9,3.1611,1454.2,0.00018834,0.0039613
617,1432,3.1613,1454.4,0.00019102,0.0039767
618,1432,3.1615,1454.6,0.00019372,0.0039917
619,1432,3.1617,1454.8,0.00019644,0.0040065
620,1432,3.1619,1455,0.00019918,0.0040209
621,1432,3.1621,1455.1,0.00020193,0.004035
622,1432,3.1623,1455.3,0.0002047,0.0040488
623,1432,3.1626,1455.5,0.00020749,0.0040622
624,1432.1,3.1628,1455.7,0.00021029,0.0040754
625,1432.1,3.163,1455.9,0.00021312,0.0040881
626,1432.1,3.1632,1456.1,0.00021596,0.0041006
627,1432.1,3.1634,1456.3,0.00021881,0.0041127
628,1432.1,3.1636,1456.5,0.00022169,0.0041244
629,1432.1,3.1639,1456.7,0.00022458,0.0041358
630,1432.1,3.1641,1456.9,0.00022748,0.0041468
631,1432.1,3.1643,1457.1,0.00023041,0.0041574
632,1432.1,3.1646,1457.4,0.00023335,0.0041677
633,1432.2,3.1648,1457.6,0.00023631,0.0041775
634,1432.2,3.1651,1457.8,0.00023928,0.004187
635,1432.2,3.1653,1458,0.00024228,0.004196
636,1432.2,3.1655,1458.2,0.00024529,0.0042047
637,1432.2,3.1658,1458.5,0.00024831,0.0042129
638,1432.2,3.1661,1458.7,0.00025135,0.0042207
639,1432.2,3.1663,1458.9,0.00025441,0.004228
640,1432.2,3.1666,1459.2,0.00025749,0.0042349
641,1432.2,3.1668,1459.4,0.00026058,0.0042414
642,1432.2,3.1671,1459.6,0.00026369,0.0042473
643,1432.2,3.1674,1459.9,0.00026681,0.0042528
644,1432.2,3.1676,1460.1,0.00026996,0.0042578
645,1432.2,3.1679,1460.4,0.00027311,0.0042624
646,1432.3,3.1682,1460.6,0.00027629,0.0042664
647,1432.3,3.1685,1460.9,0.00027948,0.0042698
648,1432.3,3.1688,1461.1,0.00028268,0.0042728
649,1432.3,3.1691,1461.4,0.0002859,0.0042752
650,1432.3,3.1694,1461.7,0.00028914,0.0042771
651,1432.3,3.1696,1461.9,0.0002924,0.0042784
652,1432.3,3.1699,1462.2,0.00029567,0.0042791
653,1432.3,3.1702,1462.5,0.00029895,0.0042793
654,1432.3,3.1706,1462.7,0.00030225,0.0042788
655,1432.3,3.1709,1463,0.00030557,0.0042777
656,1432.3,3.1712,1463.3,0.0003089,0.004276
